timestamp,vehicle_speed,target_speed,throttle,brake,steering,nearest_obstacle_m,ttc,safety_state,detections,fps
09:33:37,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.9
09:33:38,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.9
09:33:38,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.7
09:33:38,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.7
09:33:38,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.7
09:33:38,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.7
09:33:39,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.7
09:33:39,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,26.7
09:33:39,0.04,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:39,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:39,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:39,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:40,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.0
09:33:40,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:40,0.02,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:40,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:40,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:41,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:41,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
09:33:41,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:41,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:41,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:41,0.00,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:42,0.01,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.3
09:33:42,0.03,30.00,1.000,0.000,-1.000,,,CLEAR,0,27.6
